timestamp(ms),GPS.Alt,WIND.Mag,WIND.Dir,BARO.Alt,BARO.Press,ARSP.Temp
377912.711,1608.82,11.577374486471447,211.79557478411536,17.529937744140625,84052.4765625,15.04
378012.711,1608.82,11.563606703792722,211.77956847449465,17.22752571105957,84055.40625,15.1
378112.711,1608.45,11.549839825729187,211.76352400604895,17.482336044311523,84052.9375,15.12
378212.711,1608.45,11.52757129667824,211.77359390425704,17.18272590637207,84055.8359375,15.05
378312.711,1608.45,11.513804757767954,211.7574920771518,16.619905471801758,84061.328125,15.01
378412.711,1608.39,11.491536015694333,211.7675818637118,16.255891799926758,84064.8828125,15.02
378512.711,1608.39,11.469267631370366,211.77771083063783,16.66750717163086,84060.859375,15.08
378612.711,1608.29,11.455500862031306,211.7615319993837,16.92511558532715,84058.3515625,15.11
378712.711,1608.22,11.441735008293104,211.74531423647505,16.56110382080078,84061.890625,15.1
378812.711,1608.22,11.427970073464492,211.7290574038269,16.029085159301758,84067.0703125,15.1
378912.711,1608.22,11.405700329221348,211.73916760474313,15.443863868713379,84072.7734375,15.01
379012.711,1608.09,11.386680815760139,211.68005109695991,15.575469017028809,84071.4921875,15.1
379112.711,1607.86,11.372919589973367,211.66363659163045,16.306293487548828,84064.390625,15.02
379212.711,1607.86,11.359159299877787,211.64718231644926,16.337095260620117,84064.078125,15.1
379312.711,1607.86,11.348678337145698,211.5612239496965,15.368261337280273,84073.515625,15.1
379412.711,1607.5,11.326402782878596,211.57107489679152,15.298258781433105,84074.2109375,15.1
379512.711,1607.03,11.312647789089873,211.55444039961577,15.183454513549805,84075.3125,15.11
379612.711,1607.03,11.285140672583571,211.52104976168093,15.64547061920166,84070.8125,15.11
379712.711,1607.03,11.276617400621518,211.54761350063382,15.135852813720703,84075.78125,15.1
379812.711,1606.54,11.262863756611814,211.5308768234825,14.39942741394043,84082.953125,15.02
379912.711,1606.54,11.23535936229901,211.49728054821648,14.909045219421387,84078.0078125,15
380012.711,1606.06,11.221608619088443,211.48042065460976,14.676636695861816,84080.265625,15.11
380112.711,1605.65,11.199330337122841,211.49022264537177,14.393827438354492,84083.015625,15.1
380212.711,1605.65,11.180362248156362,211.4295921622793,14.158618927001953,84085.3046875,15.1
380312.711,1605.2,11.166615422767993,211.41256589366174,13.973812103271484,84087.109375,15.01
380412.711,1605.2,11.15286958589582,211.3954976540103,14.097016334533691,84085.9140625,15.11
380512.711,1604.83,11.130588483993108,211.40519019275436,13.22618579864502,84094.3828125,15
380612.711,1604.83,11.116843077061041,211.38805751966999,13.621000289916992,84090.546875,15.1
380712.711,1604.83,11.111638043060978,211.34403958179928,13.002178192138672,84096.5625,15.1
380812.711,1604.48,11.103098666588531,211.37088242833076,13.301788330078125,84093.6640625,15.02
380912.711,1604.29,11.097896197027614,211.32680192732772,13.500596046447754,84091.7109375,15.1
381012.711,1604.29,11.084155357987365,211.3095215328342,12.792170524597168,84098.625,15.01
381112.711,1604.29,11.078962045245936,211.2653368906421,12.500960350036621,84101.4453125,15.01
381212.711,1604.09,11.065224805669338,211.2479506122405,12.089345932006836,84105.46875,15.04
381312.711,1604.09,11.05667671590338,211.27483189903745,12.920975685119629,84097.359375,15.11
381412.711,1603.79,11.051488587516163,211.23052111240355,12.9041748046875,84097.53125,15.08
381512.711,1603.79,11.051488587516163,211.23052111240355,12.108946800231934,84105.28125,15.05
381612.711,1603.47,11.051488587516163,211.23052111240355,11.884939193725586,84107.453125,15.05
381712.711,1603.47,11.051488587516163,211.23052111240355,13.93181037902832,84087.515625,15.04
381812.711,1603.5,11.051488587516163,211.23052111240355,13.884208679199219,84087.9921875,15.11
381912.711,1603.84,11.051488587516163,211.23052111240355,13.382991790771484,84092.8515625,15.07
382012.711,1603.84,11.051488587516163,211.23052111240355,13.752604484558105,84089.265625,15.11
382112.711,1603.84,11.051488587516163,211.23052111240355,13.775005340576172,84089.0390625,15.11
382212.711,1604.5,11.051488587516163,211.23052111240355,14.497430801391602,84082.015625,15.12
382312.711,1605.37,11.051488587516163,211.23052111240355,14.559032440185547,84081.4140625,15.11
382412.711,1605.37,11.051488587516163,211.23052111240355,14.206220626831055,84084.84375,15.13
382512.711,1606.25,11.051488587516163,211.23052111240355,14.615035057067871,84080.8671875,15.12
382612.711,1606.25,11.051488587516163,211.23052111240355,15.933880805969238,84068.0078125,15.12
382712.711,1607.14,11.051488587516163,211.23052111240355,15.908679962158203,84068.2578125,15.12
382812.711,1607.14,11.051488587516163,211.23052111240355,17.171524047851562,84055.9453125,15.12
382912.711,1608.03,11.051488587516163,211.23052111240355,17.039920806884766,84057.25,15.08
383012.711,1608.03,11.051488587516163,211.23052111240355,16.734708786010742,84060.203125,15.1
383112.711,1609.09,11.051488587516163,211.23052111240355,16.71510887145996,84060.40625,15.1
383212.711,1609.09,11.051488587516163,211.23052111240355,16.82151222229004,84059.375,15.11
383312.711,1609.94,11.051488587516163,211.23052111240355,17.33673095703125,84054.3515625,15.09
383412.711,1609.94,11.051488587516163,211.23052111240355,16.267093658447266,84064.75,15.1
383512.711,1609.94,11.051488587516163,211.23052111240355,16.74871063232422,84060.0625,15.1
383612.711,1610.31,11.051488587516163,211.23052111240355,18.299964904785156,84044.9765625,15.1
383712.711,1610.41,11.051488587516163,211.23052111240355,19.03359031677246,84037.8125,15.11
383812.711,1610.41,11.051488587516163,211.23052111240355,18.23276138305664,84045.625,15.1
383912.711,1610.5,11.051488587516163,211.23052111240355,17.888349533081055,84048.984375,15.1
384012.711,1610.5,11.051488587516163,211.23052111240355,17.426334381103516,84053.4609375,15.09
384112.711,1610.45,11.051488587516163,211.23052111240355,17.94715118408203,84048.390625,15.1
384212.711,1610.45,11.051488587516163,211.23052111240355,18.90198516845703,84039.109375,15.09
384312.711,1610.22,11.051488587516163,211.23052111240355,18.358766555786133,84044.390625,15.09
384412.711,1610.22,11.051488587516163,211.23052111240355,18.369966506958008,84044.2890625,15.11
384512.711,1609.93,11.051488587516163,211.23052111240355,17.423534393310547,84053.5,15.1
384612.711,1609.93,11.051488587516163,211.23052111240355,16.983917236328125,84057.7890625,15.11
384712.711,1609.48,11.051488587516163,211.23052111240355,16.89991569519043,84058.609375,15.11
384812.711,1609.48,11.051488587516163,211.23052111240355,16.83831214904785,84059.1875,15.11
384912.711,1608.9,11.051488587516163,211.23052111240355,17.33673095703125,84054.34375,15.12
385012.711,1608.9,11.051488587516163,211.23052111240355,18.28316307067871,84045.125,15.11
385112.711,1608.46,11.051488587516163,211.23052111240355,17.781946182250977,84050.0078125,15.1
385212.711,1608.46,11.051488587516163,211.23052111240355,18.29436492919922,84045.015625,15.1
385312.711,1608.28,11.051488587516163,211.23052111240355,17.40953254699707,84053.640625,15.1
385412.711,1608.28,11.051488587516163,211.23052111240355,17.33673095703125,84054.359375,15.1
385512.711,1608.22,11.051488587516163,211.23052111240355,17.647541046142578,84051.328125,15.11
385612.711,1608.22,11.051488587516163,211.23052111240355,17.165924072265625,84056.0234375,15.11
385712.711,1608.22,11.051488587516163,211.23052111240355,17.115522384643555,84056.5,15.1
385812.711,1608.21,11.051488587516163,211.23052111240355,17.070720672607422,84056.9453125,15.12
385912.711,1608.1,11.051488587516163,211.23052111240355,16.71510887145996,84060.4140625,15.11
386012.711,1608.1,11.051488587516163,211.23052111240355,16.745908737182617,84060.1015625,15.12
386112.711,1608.39,11.051488587516163,211.23052111240355,16.474300384521484,84062.734375,15.11
386212.711,1608.39,11.051488587516163,211.23052111240355,16.376296997070312,84063.703125,15.11
386312.711,1608.39,11.051488587516163,211.23052111240355,16.40709686279297,84063.3984375,15.11
386412.711,1608.64,11.051488587516163,211.23052111240355,17.042720794677734,84057.21875,15.1
386512.711,1608.64,11.051488587516163,211.23052111240355,17.045520782470703,84057.171875,15.1
386612.711,1608.84,11.051488587516163,211.23052111240355,16.558303833007812,84061.9140625,15.09
386712.711,1608.96,11.051488587516163,211.23052111240355,16.390296936035156,84063.5625,15.1
386812.711,1608.96,11.051488587516163,211.23052111240355,16.258691787719727,84064.84375,15.1
386912.711,1609,11.051488587516163,211.23052111240355,16.521902084350586,84062.2890625,15.11
387012.711,1609,11.051488587516163,211.23052111240355,16.829912185668945,84059.296875,15.12
387112.711,1608.9,11.051488587516163,211.23052111240355,16.89711570739746,84058.640625,15.11
387212.711,1608.9,11.051488587516163,211.23052111240355,16.471500396728516,84062.78125,15.12
387312.711,1608.9,11.051488587516163,211.23052111240355,15.8806791305542,84068.53125,15.1
387412.711,1608.9,11.051488587516163,211.23052111240355,15.936680793762207,84067.9921875,15.11
387512.711,1608.39,11.051488587516163,211.23052111240355,15.651071548461914,84070.7734375,15.09
387612.711,1608.39,11.051488587516163,211.23052111240355,15.561468124389648,84071.6328125,15.11
387712.711,1607.84,11.051488587516163,211.23052111240355,15.469064712524414,84072.546875,15.1
387812.711,1607.84,11.051488587516163,211.23052111240355,15.253457069396973,84074.640625,15.18
387912.711,1607.31,11.051488587516163,211.23052111240355,15.093852043151855,84076.1953125,15.13
388012.711,1607.31,11.051488587516163,211.23052111240355,14.959446907043457,84077.5,15.09
388112.711,1606.61,11.051488587516163,211.23052111240355,14.158618927001953,84085.296875,15.19
388212.711,1606.61,11.051488587516163,211.23052111240355,13.943011283874512,84087.4140625,15.13
388312.711,1605.82,11.051488587516163,211.23052111240355,14.161418914794922,84085.2734375,15.11
388412.711,1605.82,11.051488587516163,211.23052111240355,13.940211296081543,84087.4375,15.11
388512.711,1604.97,11.051488587516163,211.23052111240355,14.133418083190918,84085.5546875,15.21
388612.711,1604.97,11.051488587516163,211.23052111240355,14.041014671325684,84086.4375,15.14
388712.711,1604.24,11.051488587516163,211.23052111240355,14.66823673248291,84080.3359375,15.11
388812.711,1604.24,11.051488587516163,211.23052111240355,14.928646087646484,84077.8046875,15.11
388912.711,1603.59,11.051488587516163,211.23052111240355,13.965412139892578,84087.1875,15.19
389012.711,1603.59,11.051488587516163,211.23052111240355,13.539796829223633,84091.3359375,15.23
389112.711,1603.16,11.051488587516163,211.23052111240355,13.433393478393555,84092.359375,15.14
389212.711,1603.16,11.051488587516163,211.23052111240355,12.744568824768066,84099.0703125,15.2
389312.711,1602.99,11.051488587516163,211.23052111240355,12.481359481811523,84101.640625,15.15
389412.711,1602.99,11.051488587516163,211.23052111240355,10.678096771240234,84119.203125,15.2
389512.711,1602.73,11.051488587516163,211.23052111240355,10.773300170898438,84118.28125,15.13
389612.711,1602.73,11.051488587516163,211.23052111240355,10.974906921386719,84116.3125,15.19
389712.711,1602.43,11.051488587516163,211.23052111240355,10.776100158691406,84118.25,15.21
389812.711,1602.43,11.051488587516163,211.23052111240355,10.070475578308105,84125.125,15.2
389912.711,1602.08,11.051488587516163,211.23052111240355,10.400886535644531,84121.9140625,15.21
390012.711,1602.08,11.051488587516163,211.23052111240355,10.41768741607666,84121.7578125,15.21
390112.711,1601.67,11.051488587516163,211.23052111240355,9.87726879119873,84127.0234375,15.3
390212.711,1601.67,11.051488587516163,211.23052111240355,9.728862762451172,84128.453125,15.21
390312.711,1601.1,11.051488587516163,211.23052111240355,9.675661087036133,84128.9765625,15.21
390412.711,1601.1,11.051488587516163,211.23052111240355,9.52725601196289,84130.4375,15.22
390512.711,1600.68,11.051488587516163,211.23052111240355,9.1548433303833,84134.0703125,15.21
390612.711,1600.68,11.051488587516163,211.23052111240355,8.855232238769531,84136.96875,15.32
390712.711,1600.3,11.051488587516163,211.23052111240355,9.006437301635742,84135.515625,15.31
390812.711,1600.3,11.051488587516163,211.23052111240355,9.003637313842773,84135.5390625,15.32
390912.711,1599.89,11.051488587516163,211.23052111240355,9.213644981384277,84133.4921875,15.31
391012.711,1599.89,11.051488587516163,211.23052111240355,8.788029670715332,84137.6484375,15.32
391112.711,1599.42,11.051488587516163,211.23052111240355,8.510820388793945,84140.328125,15.22
391212.711,1599.42,11.051488587516163,211.23052111240355,8.891633987426758,84136.6328125,15.22
391312.711,1598.99,11.051488587516163,211.23052111240355,8.345614433288574,84141.9375,15.31
391412.711,1598.99,11.051488587516163,211.23052111240355,7.962000846862793,84145.6953125,15.31
391512.711,1598.68,11.051488587516163,211.23052111240355,7.726792812347412,84147.9765625,15.32
391612.711,1598.68,11.051488587516163,211.23052111240355,7.919999599456787,84146.1015625,15.33
391712.711,1598.5,11.051488587516163,211.23052111240355,8.1524076461792,84143.8203125,15.32
391812.711,1598.5,11.051488587516163,211.23052111240355,7.925599575042725,84146.03125,15.33
391912.711,1598.34,11.051488587516163,211.23052111240355,7.438382625579834,84150.78125,15.31
392012.711,1598.34,11.051488587516163,211.23052111240355,6.6039533615112305,84158.9375,15.32
392112.711,1598.22,11.051488587516163,211.23052111240355,6.195138931274414,84162.90625,15.31
392212.711,1598.22,11.051488587516163,211.23052111240355,6.3407440185546875,84161.484375,15.31
392312.711,1598.02,11.051488587516163,211.23052111240355,6.567552089691162,84159.2890625,15.31
392412.711,1598.02,11.051488587516163,211.23052111240355,7.110771179199219,84154,15.31
392512.711,1597.83,11.051488587516163,211.23052111240355,6.542351245880127,84159.5390625,15.31
392612.711,1597.83,11.051488587516163,211.23052111240355,6.276341915130615,84162.109375,15.32
392712.711,1597.68,11.051488587516163,211.23052111240355,6.5899529457092285,84159.0703125,15.31
392812.711,1597.68,11.051488587516163,211.23052111240355,6.228740215301514,84162.59375,15.31
392912.711,1597.53,11.051488587516163,211.23052111240355,5.752723217010498,84167.234375,15.33
393012.711,1597.53,11.051488587516163,211.23052111240355,5.531515598297119,84169.3828125,15.38
393112.711,1597.34,11.051488587516163,211.23052111240355,4.761488437652588,84176.90625,15.32
393212.711,1597.34,11.051488587516163,211.23052111240355,4.867892265319824,84175.859375,15.33
393312.711,1597.14,11.051488587516163,211.23052111240355,5.1115007400512695,84173.484375,15.33
393412.711,1597.14,11.051488587516163,211.23052111240355,4.47307825088501,84179.7109375,15.42
393512.711,1596.96,11.051488587516163,211.23052111240355,4.632684230804443,84178.140625,15.39
393612.711,1596.96,11.051488587516163,211.23052111240355,4.635484218597412,84178.109375,15.32
393712.711,1596.64,11.051488587516163,211.23052111240355,4.313472747802734,84181.25,15.34
393812.711,1596.64,11.051488587516163,211.23052111240355,4.4226765632629395,84180.203125,15.39
393912.711,1596.34,11.051488587516163,211.23052111240355,3.6890509128570557,84187.3359375,15.34
394012.711,1596.34,11.051488587516163,211.23052111240355,3.4846436977386475,84189.3515625,15.42
394112.711,1596.37,11.051488587516163,211.23052111240355,3.255035638809204,84191.578125,15.43
394212.711,1596.37,11.051488587516163,211.23052111240355,2.983426094055176,84194.21875,15.42
394312.711,1596.32,11.051488587516163,211.23052111240355,3.092629909515381,84193.1640625,15.42
394412.711,1596.32,11.051488587516163,211.23052111240355,3.423041582107544,84189.9375,15.41
394512.711,1596.21,11.051488587516163,211.23052111240355,3.0030267238616943,84194.0390625,15.41
394612.711,1596.21,11.051488587516163,211.23052111240355,2.854621648788452,84195.484375,15.41
394712.711,1596.11,11.051488587516163,211.23052111240355,3.1262311935424805,84192.84375,15.4
394812.711,1596.11,11.051488587516163,211.23052111240355,4.123065948486328,84183.125,15.42
394912.711,1596.07,11.051488587516163,211.23052111240355,4.176268100738525,84182.6015625,15.45
395012.711,1596.07,11.051488587516163,211.23052111240355,3.9130587577819824,84185.1640625,15.43
395112.711,1595.95,11.051488587516163,211.23052111240355,3.6218485832214355,84188.015625,15.42
395212.711,1595.95,11.051488587516163,211.23052111240355,3.2354350090026855,84191.7578125,15.43
395312.711,1596,11.051488587516163,211.23052111240355,3.4454424381256104,84189.71875,15.48
395412.711,1596,11.051488587516163,211.23052111240355,3.700251340866089,84187.234375,15.48
