timestamp(ms),IMU[0].GyrX,IMU[0].GyrY,IMU[0].GyrZ,IMU[0].AccX,IMU[0].AccY,IMU[0].AccZ,XKF1[0].VN,XKF1[0].VE,XKF1[0].Yaw
1976006.8023520808,0.016982508823275566,-0.232491135597229,0.003242343431338668,0.5015171766281128,0.26463988423347473,-8.963861465454102,-0.2561356723308563,-0.39500394463539124,242.16
1976106.8023520808,-0.06869655847549438,-0.11900050193071365,-0.01736212894320488,-0.10985694825649261,0.28802910447120667,-10.873272895812988,-0.2647054195404053,-0.44143393635749817,242.09
1976206.8023520808,-0.019378526136279106,0.005051543936133385,-0.07945752143859863,-0.8804901242256165,0.19668187201023102,-11.755498886108398,-0.2522270977497101,-0.4388621747493744,241.6
1976306.8023520808,-0.07829891890287399,0.29317566752433777,-0.10396351665258408,-0.9647811651229858,0.19014112651348114,-11.418661117553711,-0.2381221354007721,-0.41038209199905396,241.08
1976406.8023520808,-0.07825122773647308,0.3481614887714386,-0.12289030104875565,-0.9843162298202515,0.03893536329269409,-10.992980003356934,-0.2141253799200058,-0.30862942337989807,240.16
1976506.8023520808,-0.08723951876163483,0.34618330001831055,-0.1330147236585617,-0.8593820333480835,-0.06933607161045074,-10.116868019104004,-0.2003408968448639,-0.22437448799610138,239.5
1976606.8023520808,-0.08951779454946518,0.2751000225543976,-0.12067423015832901,-0.46448954939842224,0.06860312074422836,-9.170989990234375,-0.17458459734916687,-0.09628936648368835,238.55
1976706.8023520808,-0.03445987403392792,0.0885288268327713,-0.10506625473499298,-0.09827117621898651,0.22079850733280182,-8.429750442504883,-0.15955007076263428,-0.03374981880187988,238.02
1976806.8023520808,0.04605104774236679,-0.190819650888443,-0.09438648819923401,0.31553128361701965,0.35752713680267334,-8.143229484558105,-0.1415206640958786,0.023350656032562256,237.38
1976906.8023520808,0.16109924018383026,-0.41831594705581665,-0.100804902613163,0.12224219739437103,0.2570704221725464,-8.733530044555664,-0.14095836877822876,0.04441474750638008,236.98
1977006.8023520808,0.22625236213207245,-0.5638223886489868,-0.11471729725599289,0.001273253932595253,0.24001412093639374,-9.122612953186035,-0.13904863595962524,0.039515938609838486,236.26
1977106.8023520808,0.21379885077476501,-0.4586583375930786,-0.16996993124485016,-0.45156264305114746,0.42808666825294495,-10.318254470825195,-0.12870538234710693,0.011537406593561172,235.56
1977206.8023520808,0.10678424686193466,-0.15255111455917358,-0.12423166632652283,-0.3522401750087738,0.23577871918678284,-10.050997734069824,-0.11909764260053635,-0.0807306244969368,234.58
1977306.8023520808,0.056982774287462234,0.031121540814638138,-0.08733806759119034,-0.33743393421173096,0.18904292583465576,-9.696584701538086,-0.11439576745033264,-0.14732448756694794,234.14
1977406.8023520808,-0.10237228125333786,0.10653563588857651,-0.07208577543497086,-0.2755996584892273,0.1283876597881317,-9.70822811126709,-0.11721184849739075,-0.2370876967906952,233.62
1977506.8023520808,-0.23857781291007996,0.1151648610830307,-0.04900149255990982,-0.41194212436676025,-0.12690666317939758,-10.163596153259277,-0.13177579641342163,-0.2709358334541321,233.36
1977606.8023520808,-0.2395915985107422,0.0941147580742836,-0.049983441829681396,-0.6436591744422913,0.11597568541765213,-11.045330047607422,-0.1438467651605606,-0.293293297290802,232.98
1977706.8023520808,-0.21029329299926758,0.29023826122283936,-0.06571537256240845,-0.8210694193840027,0.1794140636920929,-11.357918739318848,-0.14768902957439423,-0.27917003631591797,232.63
1977806.8023520808,-0.17561885714530945,0.45031771063804626,-0.050908416509628296,-0.8947216868400574,0.17901752889156342,-11.015539169311523,-0.13525106012821198,-0.19456113874912262,232.06
1977906.8023520808,-0.15638947486877441,0.4155252277851105,-0.05084783583879471,-0.8033852577209473,-0.010316938161849976,-10.132278442382812,-0.1202457919716835,-0.09904968738555908,231.66
1978006.8023520808,0.052618179470300674,0.20831170678138733,-0.28505104780197144,-0.7296956777572632,-0.12614282965660095,-9.515511512756348,-0.1037924513220787,0.13104082643985748,229.91
1978106.8023520808,0.19579187035560608,-0.023871582001447678,-0.4706992208957672,0.5232062935829163,-0.2098635882139206,-9.088797569274902,-0.08872397243976593,0.2497890591621399,228.15
1978206.8023520808,0.28480616211891174,-0.05953047052025795,-0.45397067070007324,-0.25751248002052307,0.16801106929779053,-8.535491943359375,-0.07603485137224197,0.3699660301208496,225.73
1978306.8023520808,0.28600114583969116,-0.1916099488735199,-0.3290219008922577,0.16830815374851227,0.4240702688694,-8.983929634094238,-0.06508148461580276,0.404036283493042,224.34
1978406.8023520808,0.37302905321121216,-0.37852567434310913,-0.3075602352619171,0.2426111102104187,0.43100959062576294,-8.370078086853027,-0.049822092056274414,0.3935116231441498,222.22
1978506.8023520808,0.36778584122657776,-0.516478419303894,-0.25444433093070984,0.3237042725086212,0.614633321762085,-8.792889595031738,-0.04615437611937523,0.34171727299690247,221.01
1978606.8023520808,0.30787497758865356,-0.4682893455028534,-0.15413735806941986,0.4660949110984802,0.7099394202232361,-9.45984172821045,-0.0652514100074768,0.17002585530281067,219.7
1978706.8023520808,0.104210764169693,-0.1810983568429947,-0.039796411991119385,0.41372618079185486,0.610619068145752,-10.429333686828613,-0.10001355409622192,0.015226093120872974,219.32
1978806.8023520808,-0.08972079306840897,0.09101219475269318,0.021062355488538742,-0.21096153557300568,0.08416606485843658,-10.474262237548828,-0.139433816075325,-0.16180934011936188,219.39
1978906.8023520808,-0.2061929553747177,0.22639961540699005,0.05126320943236351,-0.3122781217098236,-0.052851542830467224,-10.917549133300781,-0.16439303755760193,-0.2378106564283371,219.64
1979006.8023520808,-0.341820627450943,0.17933209240436554,0.06243092194199562,-0.7963818311691284,0.22407831251621246,-10.689764022827148,-0.1512291431427002,-0.29131680727005005,220
1979106.8023520808,-0.3140132427215576,0.09395074099302292,0.018178317695856094,-0.814554750919342,0.2277570217847824,-10.7660551071167,-0.13315615057945251,-0.29998499155044556,220.11
1979206.8023520808,-0.3001827597618103,0.1632954180240631,-0.011187886819243431,-0.9505188465118408,0.08255619555711746,-10.85633659362793,-0.11908496171236038,-0.25148552656173706,219.99
